condition_id,condition,backbone,blind_case_id,scenario_id,family_id,stratum,run_index,run_status,positive_reference_count,tp_ev,fp,fn
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_717130ec8771f2e7ca1e85fa45be32c7,EVAL-001,EVAL-KEV-A-01,recent_kev_0_30,1,complete,1,1,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_17ea8e700ea4d3bd4d0b989e446c3544,EVAL-002,EVAL-KEV-A-01,recent_kev_0_30,1,complete,0,0,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_5d090d8a2ce9a8a8176dd912450fcb91,EVAL-003,EVAL-KEV-A-02,recent_kev_0_30,1,failed,1,0,0,1
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_c235f137ebe63031db001d2e8fc28782,EVAL-004,EVAL-KEV-A-02,recent_kev_0_30,1,complete,0,0,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_35df98b4e7c60392bac47db71e1605d8,EVAL-005,EVAL-KEV-A-03,recent_kev_0_30,1,complete,1,1,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_09a328dcc057e59210234bbbaeb9d4ba,EVAL-006,EVAL-KEV-A-03,recent_kev_0_30,1,complete,0,0,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_b1212d63d629fa402953a0a773377c88,EVAL-007,EVAL-KEV-B-01,recent_kev_31_60,1,complete,1,1,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_cd8fb742b019811907d2421e02b9f57e,EVAL-008,EVAL-KEV-B-01,recent_kev_31_60,1,complete,0,0,1,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_dde33622fcbd83d1a8233edee1039194,EVAL-009,EVAL-KEV-B-02,recent_kev_31_60,1,complete,1,1,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_3ffca8f9dac91cdee6b76599eec26099,EVAL-010,EVAL-KEV-B-02,recent_kev_31_60,1,complete,0,0,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_23dd353d812a98b90eee453f921cfcfa,EVAL-011,EVAL-KEV-B-03,recent_kev_31_60,1,complete,1,0,0,1
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_6c2fb889cdeed3a6ae06677a1c8e8094,EVAL-012,EVAL-KEV-B-03,recent_kev_31_60,1,complete,0,0,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_5b142abafe3dc6e0af58b68d45140be8,EVAL-013,EVAL-KEV-C-01,recent_kev_61_90,1,complete,1,1,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_e139d80489db92cdbb6969f82d68f9ef,EVAL-014,EVAL-KEV-C-01,recent_kev_61_90,1,complete,0,0,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_cdd0db780d99453af95606bb618879b1,EVAL-015,EVAL-KEV-C-02,recent_kev_61_90,1,complete,1,1,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_1cb167d2d30e2d24c124a5581b7d71b8,EVAL-016,EVAL-KEV-C-02,recent_kev_61_90,1,complete,0,0,0,0
qwen_single_rag,Qwen single-RAG,Qwen 3.5 27B,bc_1b72e350d390169c06daa6aae9bd148f,EVAL-017,EVAL-KEV-C-03,recent_kev_61_90,1,complete,1,1,0,0
