comparison,endpoint,effect,ci_lower,ci_upper,raw_p,adjusted_p,analysis_status,interpretation
Qwen fixed team versus single-RAG,Evidence-verified detection F1,-0.029495178672717004,-0.13167013167013164,0.06666666666666665,0.5831416858314169,,Confirmatory,No evidence of improved F1
Evidence checking retained versus removed,Evidence-verified detection F1,0.0,0.0,0.0,1.0,1.0,Multiplicity-adjusted,No observed difference
Retrieval retained versus removed,Recent-KEV affected-target recall,0.75,0.5,0.9166666666666666,9.999000099990002e-05,0.00019998000199980003,Multiplicity-adjusted,Retrieval benefit supported
Clinical-context agent retained versus removed,Evidence-verified detection F1,0.0,0.0,0.0,,,Descriptive technical ablation,No observed difference
Gemma fixed team versus single-RAG,Evidence-verified detection F1,-0.028138528138528157,-0.22685185185185186,0.15087839602925784,0.7875212478752125,,Backbone component,Direction uncertain
gpt-oss fixed team versus single-RAG,Evidence-verified detection F1,0.16867318278845073,-0.006806579693703907,0.3448138615681585,0.0638936106389361,,Backbone component,Positive direction; interval includes zero
Worst-case fixed-team effect across backbones,Minimum evidence-verified F1 difference,-0.029495178672717004,-0.22685185185185186,0.035362554112553984,,,Compound robustness estimate,No consistent fixed-team advantage
Qwen fixed team versus Gemma fixed team,Evidence-verified detection F1,0.39036544850498334,0.2121212121212121,0.5742397137745976,9.999000099990002e-05,0.00019998000199980003,Multiplicity-adjusted,Higher F1 with the tested Qwen configuration
Qwen fixed team versus gpt-oss fixed team,Evidence-verified detection F1,0.34378159757330634,0.23214560619711103,0.46241167764052893,9.999000099990002e-05,0.00019998000199980003,Multiplicity-adjusted,Higher F1 with the tested Qwen configuration
Qwen autonomous team versus fixed team,Evidence-verified detection F1,0.01073345259391778,-0.11986062717770041,0.14377406931964054,0.8801119888011198,,Confirmatory,No evidence of superiority
Qwen autonomous team versus single-RAG,Evidence-verified detection F1,-0.018761726078799223,-0.1210526315789473,0.06516290726817042,0.7161283871612839,,Descriptive comparison,No evidence of a difference
