scenario_id,scenario_family,condition,repetition,candidate_id,finding_type,recent_kev,verified_detected
EVAL-001,EVAL-KEV-A-01,qwen_autonomous_team,1,CAND-EVAL-001-01,cve,1,1
EVAL-003,EVAL-KEV-A-02,qwen_autonomous_team,1,CAND-EVAL-003-02,cve,1,0
EVAL-005,EVAL-KEV-A-03,qwen_autonomous_team,1,CAND-EVAL-005-03,cve,1,1
EVAL-007,EVAL-KEV-B-01,qwen_autonomous_team,1,CAND-EVAL-007-05,cve,1,1
EVAL-009,EVAL-KEV-B-02,qwen_autonomous_team,1,CAND-EVAL-009-06,cve,1,1
EVAL-011,EVAL-KEV-B-03,qwen_autonomous_team,1,CAND-EVAL-011-07,cve,1,0
EVAL-013,EVAL-KEV-C-01,qwen_autonomous_team,1,CAND-EVAL-013-09,cve,1,1
EVAL-015,EVAL-KEV-C-02,qwen_autonomous_team,1,CAND-EVAL-015-10,cve,1,1
EVAL-017,EVAL-KEV-C-03,qwen_autonomous_team,1,CAND-EVAL-017-11,cve,1,0
EVAL-019,EVAL-CVE-01,qwen_autonomous_team,1,CAND-EVAL-019-13,cve,0,1
EVAL-021,EVAL-CVE-02,qwen_autonomous_team,1,CAND-EVAL-021-14,cve,0,1
EVAL-023,EVAL-CVE-03,qwen_autonomous_team,1,CAND-EVAL-023-15,cve,0,0
EVAL-025,EVAL-CVE-04,qwen_autonomous_team,1,CAND-EVAL-025-16,cve,0,1
EVAL-027,EVAL-CVE-05,qwen_autonomous_team,1,CAND-EVAL-027-17,cve,0,1
EVAL-029,EVAL-MIS-01,qwen_autonomous_team,1,CAND-EVAL-029-19,synthetic_misconfiguration,0,0
EVAL-031,EVAL-MIS-02,qwen_autonomous_team,1,CAND-EVAL-031-20,synthetic_misconfiguration,0,0
EVAL-033,EVAL-MIS-03,qwen_autonomous_team,1,CAND-EVAL-033-21,synthetic_misconfiguration,0,0
EVAL-035,EVAL-MIS-04,qwen_autonomous_team,1,CAND-EVAL-035-22,synthetic_misconfiguration,0,0
EVAL-037,EVAL-MIS-05,qwen_autonomous_team,1,CAND-EVAL-037-23,synthetic_misconfiguration,0,0
EVAL-039,EVAL-MIS-06,qwen_autonomous_team,1,CAND-EVAL-039-24,synthetic_misconfiguration,0,0
EVAL-049,EVAL-KEV-A-04,qwen_autonomous_team,1,CAND-EVAL-049-04,cve,1,0
EVAL-051,EVAL-KEV-B-04,qwen_autonomous_team,1,CAND-EVAL-051-08,cve,1,1
EVAL-053,EVAL-KEV-C-04,qwen_autonomous_team,1,CAND-EVAL-053-12,cve,1,0
EVAL-055,EVAL-CVE-06,qwen_autonomous_team,1,CAND-EVAL-055-18,cve,0,1
EVAL-057,EVAL-MIS-07,qwen_autonomous_team,1,CAND-EVAL-057-25,synthetic_misconfiguration,0,0
EVAL-001,EVAL-KEV-A-01,qwen_autonomous_team,2,CAND-EVAL-001-01,cve,1,1
EVAL-003,EVAL-KEV-A-02,qwen_autonomous_team,2,CAND-EVAL-003-02,cve,1,0
EVAL-005,EVAL-KEV-A-03,qwen_autonomous_team,2,CAND-EVAL-005-03,cve,1,1
EVAL-007,EVAL-KEV-B-01,qwen_autonomous_team,2,CAND-EVAL-007-05,cve,1,1
EVAL-009,EVAL-KEV-B-02,qwen_autonomous_team,2,CAND-EVAL-009-06,cve,1,1
EVAL-011,EVAL-KEV-B-03,qwen_autonomous_team,2,CAND-EVAL-011-07,cve,1,0
EVAL-013,EVAL-KEV-C-01,qwen_autonomous_team,2,CAND-EVAL-013-09,cve,1,1
EVAL-015,EVAL-KEV-C-02,qwen_autonomous_team,2,CAND-EVAL-015-10,cve,1,1
EVAL-017,EVAL-KEV-C-03,qwen_autonomous_team,2,CAND-EVAL-017-11,cve,1,0
