condition_id,condition,stratum,tp,fp,fn,precision,recall,f1,cells
qwen_single_rag,Qwen single-RAG,"Recent KEV, 0-30 days",15,0,5,1.0,0.75,0.8571428571428571,40
qwen_single_rag,Qwen single-RAG,"Recent KEV, 31-60 days",15,5,5,0.75,0.75,0.75,40
qwen_single_rag,Qwen single-RAG,"Recent KEV, 61-90 days",15,0,5,1.0,0.75,0.8571428571428571,40
qwen_single_rag,Qwen single-RAG,Other CVE,20,10,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,60
qwen_single_rag,Qwen single-RAG,Synthetic misconfiguration,0,0,35,,0.0,0.0,70
qwen_single_rag,Qwen single-RAG,Clean control,0,0,0,,,,50
qwen_autonomous_team,Qwen autonomous team,"Recent KEV, 0-30 days",10,0,10,1.0,0.5,0.6666666666666666,40
qwen_autonomous_team,Qwen autonomous team,"Recent KEV, 31-60 days",15,5,5,0.75,0.75,0.75,40
qwen_autonomous_team,Qwen autonomous team,"Recent KEV, 61-90 days",10,0,10,1.0,0.5,0.6666666666666666,40
qwen_autonomous_team,Qwen autonomous team,Other CVE,25,5,5,0.8333333333333334,0.8333333333333334,0.8333333333333334,60
qwen_autonomous_team,Qwen autonomous team,Synthetic misconfiguration,0,0,35,,0.0,0.0,70
qwen_autonomous_team,Qwen autonomous team,Clean control,0,0,0,,,,50
qwen_fixed_team,Qwen fixed team,"Recent KEV, 0-30 days",20,5,0,0.8,1.0,0.8888888888888888,40
qwen_fixed_team,Qwen fixed team,"Recent KEV, 31-60 days",10,5,10,0.6666666666666666,0.5,0.5714285714285714,40
qwen_fixed_team,Qwen fixed team,"Recent KEV, 61-90 days",15,0,5,1.0,0.75,0.8571428571428571,40
qwen_fixed_team,Qwen fixed team,Other CVE,20,15,10,0.5714285714285714,0.6666666666666666,0.6153846153846154,60
qwen_fixed_team,Qwen fixed team,Synthetic misconfiguration,0,0,35,,0.0,0.0,70
qwen_fixed_team,Qwen fixed team,Clean control,0,0,0,,,,50
qwen_without_evidence_check,Qwen without evidence checking,"Recent KEV, 0-30 days",20,5,0,0.8,1.0,0.8888888888888888,40
qwen_without_evidence_check,Qwen without evidence checking,"Recent KEV, 31-60 days",10,5,10,0.6666666666666666,0.5,0.5714285714285714,40
qwen_without_evidence_check,Qwen without evidence checking,"Recent KEV, 61-90 days",15,0,5,1.0,0.75,0.8571428571428571,40
qwen_without_evidence_check,Qwen without evidence checking,Other CVE,20,15,10,0.5714285714285714,0.6666666666666666,0.6153846153846154,60
qwen_without_evidence_check,Qwen without evidence checking,Synthetic misconfiguration,0,0,35,,0.0,0.0,70
qwen_without_evidence_check,Qwen without evidence checking,Clean control,0,0,0,,,,50
qwen_without_context_role,Qwen without clinical-context agent,"Recent KEV, 0-30 days",20,5,0,0.8,1.0,0.8888888888888888,40
qwen_without_context_role,Qwen without clinical-context agent,"Recent KEV, 31-60 days",10,5,10,0.6666666666666666,0.5,0.5714285714285714,40
qwen_without_context_role,Qwen without clinical-context agent,"Recent KEV, 61-90 days",15,0,5,1.0,0.75,0.8571428571428571,40
qwen_without_context_role,Qwen without clinical-context agent,Other CVE,20,15,10,0.5714285714285714,0.6666666666666666,0.6153846153846154,60
qwen_without_context_role,Qwen without clinical-context agent,Synthetic misconfiguration,0,0,35,,0.0,0.0,70
qwen_without_context_role,Qwen without clinical-context agent,Clean control,0,0,0,,,,50
qwen_without_retrieval,Qwen without retrieval,"Recent KEV, 0-30 days",0,0,20,,0.0,0.0,40
qwen_without_retrieval,Qwen without retrieval,"Recent KEV, 31-60 days",0,0,20,,0.0,0.0,40
qwen_without_retrieval,Qwen without retrieval,"Recent KEV, 61-90 days",0,0,20,,0.0,0.0,40
qwen_without_retrieval,Qwen without retrieval,Other CVE,0,0,30,,0.0,0.0,60
qwen_without_retrieval,Qwen without retrieval,Synthetic misconfiguration,0,0,35,,0.0,0.0,70
qwen_without_retrieval,Qwen without retrieval,Clean control,0,0,0,,,,50
gemma_single_rag,Gemma single-RAG,"Recent KEV, 0-30 days",10,5,10,0.6666666666666666,0.5,0.5714285714285714,40
gemma_single_rag,Gemma single-RAG,"Recent KEV, 31-60 days",5,0,15,1.0,0.25,0.4,40
gemma_single_rag,Gemma single-RAG,"Recent KEV, 61-90 days",5,0,15,1.0,0.25,0.4,40
gemma_single_rag,Gemma single-RAG,Other CVE,0,0,30,,0.0,0.0,60
gemma_single_rag,Gemma single-RAG,Synthetic misconfiguration,0,10,35,0.0,0.0,0.0,70
gemma_single_rag,Gemma single-RAG,Clean control,0,5,0,0.0,,0.0,50
gemma_fixed_team,Gemma fixed team,"Recent KEV, 0-30 days",10,0,10,1.0,0.5,0.6666666666666666,40
gemma_fixed_team,Gemma fixed team,"Recent KEV, 31-60 days",5,0,15,1.0,0.25,0.4,40
gemma_fixed_team,Gemma fixed team,"Recent KEV, 61-90 days",0,0,20,,0.0,0.0,40
gemma_fixed_team,Gemma fixed team,Other CVE,0,0,30,,0.0,0.0,60
gemma_fixed_team,Gemma fixed team,Synthetic misconfiguration,0,0,35,,0.0,0.0,70
gemma_fixed_team,Gemma fixed team,Clean control,0,0,0,,,,50
gpt_oss_single_rag,gpt-oss single-RAG,"Recent KEV, 0-30 days",10,19,10,0.3448275862068966,0.5,0.40816326530612246,40
gpt_oss_single_rag,gpt-oss single-RAG,"Recent KEV, 31-60 days",0,17,20,0.0,0.0,0.0,40
gpt_oss_single_rag,gpt-oss single-RAG,"Recent KEV, 61-90 days",0,15,20,0.0,0.0,0.0,40
gpt_oss_single_rag,gpt-oss single-RAG,Other CVE,0,31,30,0.0,0.0,0.0,60
gpt_oss_single_rag,gpt-oss single-RAG,Synthetic misconfiguration,0,0,35,,0.0,0.0,70
gpt_oss_single_rag,gpt-oss single-RAG,Clean control,0,0,0,,,,50
gpt_oss_fixed_team,gpt-oss fixed team,"Recent KEV, 0-30 days",1,29,19,0.03333333333333333,0.05,0.04,40
gpt_oss_fixed_team,gpt-oss fixed team,"Recent KEV, 31-60 days",5,25,15,0.16666666666666666,0.25,0.2,40
gpt_oss_fixed_team,gpt-oss fixed team,"Recent KEV, 61-90 days",10,10,10,0.5,0.5,0.5,40
gpt_oss_fixed_team,gpt-oss fixed team,Other CVE,14,10,16,0.5833333333333334,0.4666666666666667,0.5185185185185185,60
gpt_oss_fixed_team,gpt-oss fixed team,Synthetic misconfiguration,0,1,35,0.0,0.0,0.0,70
gpt_oss_fixed_team,gpt-oss fixed team,Clean control,0,0,0,,,,50
