scenario_id,scenario_family,condition,scenario_stratum,repetition,fp_count,evaluated_assets,log_evaluated_assets_offset
EVAL-001,EVAL-KEV-A-01,qwen_autonomous_team,recent_kev_0_30,1,0,1,0.0
EVAL-002,EVAL-KEV-A-01,qwen_autonomous_team,recent_kev_0_30,1,0,1,0.0
EVAL-003,EVAL-KEV-A-02,qwen_autonomous_team,recent_kev_0_30,1,0,1,0.0
EVAL-004,EVAL-KEV-A-02,qwen_autonomous_team,recent_kev_0_30,1,0,1,0.0
EVAL-005,EVAL-KEV-A-03,qwen_autonomous_team,recent_kev_0_30,1,0,1,0.0
EVAL-006,EVAL-KEV-A-03,qwen_autonomous_team,recent_kev_0_30,1,0,1,0.0
EVAL-007,EVAL-KEV-B-01,qwen_autonomous_team,recent_kev_31_60,1,0,1,0.0
EVAL-008,EVAL-KEV-B-01,qwen_autonomous_team,recent_kev_31_60,1,1,1,0.0
EVAL-009,EVAL-KEV-B-02,qwen_autonomous_team,recent_kev_31_60,1,0,1,0.0
EVAL-010,EVAL-KEV-B-02,qwen_autonomous_team,recent_kev_31_60,1,0,1,0.0
EVAL-011,EVAL-KEV-B-03,qwen_autonomous_team,recent_kev_31_60,1,0,1,0.0
EVAL-012,EVAL-KEV-B-03,qwen_autonomous_team,recent_kev_31_60,1,0,1,0.0
EVAL-013,EVAL-KEV-C-01,qwen_autonomous_team,recent_kev_61_90,1,0,1,0.0
EVAL-014,EVAL-KEV-C-01,qwen_autonomous_team,recent_kev_61_90,1,0,1,0.0
EVAL-015,EVAL-KEV-C-02,qwen_autonomous_team,recent_kev_61_90,1,0,1,0.0
EVAL-016,EVAL-KEV-C-02,qwen_autonomous_team,recent_kev_61_90,1,0,1,0.0
EVAL-017,EVAL-KEV-C-03,qwen_autonomous_team,recent_kev_61_90,1,0,1,0.0
EVAL-018,EVAL-KEV-C-03,qwen_autonomous_team,recent_kev_61_90,1,0,1,0.0
EVAL-019,EVAL-CVE-01,qwen_autonomous_team,other_cve,1,0,1,0.0
EVAL-020,EVAL-CVE-01,qwen_autonomous_team,other_cve,1,0,1,0.0
EVAL-021,EVAL-CVE-02,qwen_autonomous_team,other_cve,1,1,1,0.0
EVAL-022,EVAL-CVE-02,qwen_autonomous_team,other_cve,1,0,1,0.0
EVAL-023,EVAL-CVE-03,qwen_autonomous_team,other_cve,1,0,1,0.0
EVAL-024,EVAL-CVE-03,qwen_autonomous_team,other_cve,1,0,1,0.0
EVAL-025,EVAL-CVE-04,qwen_autonomous_team,other_cve,1,0,1,0.0
EVAL-026,EVAL-CVE-04,qwen_autonomous_team,other_cve,1,0,1,0.0
EVAL-027,EVAL-CVE-05,qwen_autonomous_team,other_cve,1,0,1,0.0
EVAL-028,EVAL-CVE-05,qwen_autonomous_team,other_cve,1,0,1,0.0
