scenario_id,scenario_family,condition,scenario_stratum,repetition,latency_seconds,log_latency
EVAL-001,EVAL-KEV-A-01,qwen_autonomous_team,recent_kev_0_30,1,68.69273605698254,4.229643459387425
EVAL-002,EVAL-KEV-A-01,qwen_autonomous_team,recent_kev_0_30,1,65.34993282804498,4.179756412189748
EVAL-003,EVAL-KEV-A-02,qwen_autonomous_team,recent_kev_0_30,1,64.34677024901612,4.164286742402076
EVAL-004,EVAL-KEV-A-02,qwen_autonomous_team,recent_kev_0_30,1,69.26987667995854,4.238010131752267
EVAL-005,EVAL-KEV-A-03,qwen_autonomous_team,recent_kev_0_30,1,65.13151383498916,4.176408515570689
EVAL-006,EVAL-KEV-A-03,qwen_autonomous_team,recent_kev_0_30,1,229.8798852559994,5.437556934492032
EVAL-007,EVAL-KEV-B-01,qwen_autonomous_team,recent_kev_31_60,1,64.50218302398571,4.166699068562099
EVAL-008,EVAL-KEV-B-01,qwen_autonomous_team,recent_kev_31_60,1,70.36704240596737,4.253725005906168
EVAL-009,EVAL-KEV-B-02,qwen_autonomous_team,recent_kev_31_60,1,70.21115974101122,4.251507269066943
EVAL-010,EVAL-KEV-B-02,qwen_autonomous_team,recent_kev_31_60,1,65.30551515100524,4.179076491383721
EVAL-011,EVAL-KEV-B-03,qwen_autonomous_team,recent_kev_31_60,1,50.362194211018505,3.919240778739658
EVAL-012,EVAL-KEV-B-03,qwen_autonomous_team,recent_kev_31_60,1,37.67947105402709,3.6291154117653392
EVAL-013,EVAL-KEV-C-01,qwen_autonomous_team,recent_kev_61_90,1,65.13939373000176,4.1765294926202765
EVAL-014,EVAL-KEV-C-01,qwen_autonomous_team,recent_kev_61_90,1,67.24506759596989,4.208343671494278
EVAL-015,EVAL-KEV-C-02,qwen_autonomous_team,recent_kev_61_90,1,63.19899473604164,4.146288394951018
EVAL-016,EVAL-KEV-C-02,qwen_autonomous_team,recent_kev_61_90,1,62.60585551499389,4.13685881230977
EVAL-017,EVAL-KEV-C-03,qwen_autonomous_team,recent_kev_61_90,1,69.6491007769655,4.243469789546141
EVAL-018,EVAL-KEV-C-03,qwen_autonomous_team,recent_kev_61_90,1,49.632756383973174,3.9046510267227235
